sex,athlete,id,class,grit
F,N,61,nct,3.625
F,N,61,plebe,3.16666666666667
F,N,61,yearling,3.66666666666667
F,N,62,nct,3.375
F,N,62,plebe,3.83333333333333
F,N,62,yearling,2.83333333333333
F,Y,63,nct,3.125
F,Y,63,plebe,3.33333333333333
F,Y,63,yearling,3.33333333333333
F,N,64,nct,4.75
F,N,64,plebe,4.83333333333333
F,N,64,yearling,4.16666666666667
F,N,65,nct,4.125
F,N,65,plebe,4.66666666666667
F,N,65,yearling,4.66666666666667
F,N,66,nct,2.25
F,N,66,plebe,3.33333333333333
F,N,66,yearling,4
F,N,67,nct,3.875
F,N,67,plebe,3.66666666666667
F,N,67,yearling,3.66666666666667
F,N,68,nct,2.875
F,N,68,plebe,4.16666666666667
F,N,68,yearling,4.16666666666667
F,N,69,nct,5
F,N,69,plebe,4.66666666666667
F,N,69,yearling,4.83333333333333
F,N,70,nct,3
F,N,70,plebe,3
F,N,70,yearling,3
F,N,71,nct,4.375
F,N,71,plebe,3.5
F,N,71,yearling,3
F,N,72,nct,3.14285714285714
F,N,72,plebe,4.33333333333333
F,N,72,yearling,4.33333333333333
M,N,73,nct,3.75
M,N,73,plebe,4.83333333333333
M,N,73,yearling,5
M,N,74,nct,3.5
M,N,74,plebe,3.16666666666667
M,N,74,yearling,3.83333333333333
M,N,75,nct,4.5
M,N,75,plebe,4.16666666666667
M,N,75,yearling,4.33333333333333
M,N,76,nct,3.375
M,N,76,plebe,3.66666666666667
M,N,76,yearling,3.33333333333333
M,N,77,nct,3.75
M,N,77,plebe,4.5
M,N,77,yearling,3.66666666666667
M,N,78,nct,3.5
M,N,78,plebe,4.66666666666667
M,N,78,yearling,4
M,N,79,nct,3.5
M,N,79,plebe,4
M,N,79,yearling,3.66666666666667
M,Y,80,nct,3.5
M,Y,80,plebe,3.33333333333333
M,Y,80,yearling,3.33333333333333
M,N,81,nct,3.75
M,N,81,plebe,3.83333333333333
M,N,81,yearling,2.66666666666667
M,N,82,nct,3.75
M,N,82,plebe,4.33333333333333
M,N,82,yearling,4.16666666666667
M,N,83,nct,4.5
M,N,83,plebe,4.66666666666667
M,N,83,yearling,4.66666666666667
M,N,84,nct,3.375
M,N,84,plebe,3.5
M,N,84,yearling,3.83333333333333
M,N,85,nct,3
M,N,85,plebe,3.66666666666667
M,N,85,yearling,3.33333333333333
M,N,86,nct,3
M,N,86,plebe,5
M,N,86,yearling,4.33333333333333
M,N,87,nct,3.5
M,N,87,plebe,2.83333333333333
M,N,87,yearling,3.83333333333333
M,N,88,nct,3.625
M,N,88,plebe,3.66666666666667
M,N,88,yearling,4
M,N,89,nct,4
